model,experiment,n,mean_error_km,max_error_km
tianxing,control,28,367.2834043711645,960.5076209397876
pangu_6h,control,28,408.5343601776479,1245.824801958283
tianxing,optimal,28,74.09095418194929,179.58770198924813
pangu_6h,optimal,28,122.39243380725982,379.82217081590545
tianxing,era5t_start,28,393.10650567786723,1104.1635001037719
pangu_6h,era5t_start,28,415.3520291808727,1107.9220973066963
tianxing,eastasia_hard_keep,28,124.74527705968956,319.39737704620796
pangu_6h,eastasia_hard_keep,28,127.40284692357102,449.5517607003507
tianxing,eastasia_hard_remove,28,277.3298635145325,672.398526795177
pangu_6h,eastasia_hard_remove,28,358.92505706331707,1028.6696827211158
era5t,reference_verification,28,50.56576771107138,119.87306281574142
