model,experiment,lead_hours,forecast_lat,forecast_lon,reference_lat,reference_lon,error_km
tianxing,control,6,28.75,124.0,28.4,124.2,43.54372114790988
tianxing,control,12,28.25,123.25,28.2,123.5,25.116490602088316
tianxing,control,18,28.0,122.25,28.2,122.6,40.90450658120308
tianxing,control,24,27.75,121.0,28.1,121.0,38.918278081736574
tianxing,control,30,27.75,119.75,27.9,119.3,47.291208677596885
tianxing,control,36,27.5,118.25,27.7,117.8,49.60774808174275
tianxing,control,42,27.25,116.75,27.2,116.7,7.439911694849067
tianxing,control,48,27.0,115.75,26.7,115.9,36.52721553989365
tianxing,control,54,27.0,114.5,26.0,115.2,131.21143464219702
tianxing,control,60,26.5,113.5,25.8,114.1,98.20912493383109
tianxing,control,66,26.0,112.25,25.4,112.6,75.37197785525436
tianxing,control,72,25.0,111.0,24.3,111.9,119.71346615797908
tianxing,control,78,24.0,109.75,23.5,111.0,138.83957243015297
tianxing,control,84,22.75,109.25,22.3,110.5,137.79563932063357
tianxing,control,90,21.75,108.25,21.2,110.2,210.83970082854086
tianxing,control,96,20.75,107.75,20.1,110.2,265.32999211965745
tianxing,control,102,20.0,107.5,19.4,110.5,321.06302311981915
tianxing,control,108,19.5,107.5,19.0,111.0,371.5981060854265
tianxing,control,114,19.0,107.5,18.8,112.0,473.9091599852943
tianxing,control,120,18.75,107.5,19.2,113.5,632.8653242950891
tianxing,control,126,18.75,107.75,20.0,114.4,711.2223879461753
tianxing,control,132,18.75,108.25,20.9,115.5,795.0598776846779
tianxing,control,138,18.75,108.5,21.4,116.3,866.1169718479551
tianxing,control,144,18.5,108.75,22.0,116.9,934.8182662935716
tianxing,control,150,18.5,109.25,22.2,117.2,925.0679121551194
tianxing,control,156,18.5,110.25,22.9,118.2,960.5076209397876
tianxing,control,162,18.5,110.75,23.3,118.4,956.9379859095355
tianxing,control,168,18.5,111.25,23.8,117.4,868.1086974348892
pangu_6h,control,6,28.75,124.25,28.4,124.2,39.223351835343145
pangu_6h,control,12,28.5,123.5,28.2,123.5,33.35852407006027
pangu_6h,control,18,28.25,122.5,28.2,122.6,11.26495676698087
pangu_6h,control,24,28.0,121.5,28.1,121.0,50.31104611441186
pangu_6h,control,30,28.0,120.0,27.9,119.3,69.65067839741057
pangu_6h,control,36,27.5,118.5,27.7,117.8,72.47523412920384
pangu_6h,control,42,27.25,117.0,27.2,116.7,30.179490129449412
pangu_6h,control,48,27.0,116.25,26.7,115.9,48.15021118619616
pangu_6h,control,54,26.75,115.0,26.0,115.2,85.74323777165043
pangu_6h,control,60,26.25,113.75,25.8,114.1,61.04763833176116
pangu_6h,control,66,25.75,112.25,25.4,112.6,52.41176825594755
pangu_6h,control,72,25.0,111.0,24.3,111.9,119.71346615797908
pangu_6h,control,78,23.75,109.75,23.5,111.0,130.34280722812497
pangu_6h,control,84,22.5,108.75,22.3,110.5,181.27685587103895
pangu_6h,control,90,21.0,108.0,21.2,110.2,229.30662947749303
pangu_6h,control,96,19.75,107.5,20.1,110.2,284.92184889458554
pangu_6h,control,102,19.0,107.5,19.4,110.5,318.149658980308
pangu_6h,control,108,18.5,107.5,19.0,111.0,372.6917122178928
pangu_6h,control,114,18.25,107.75,18.8,112.0,452.2341293879352
pangu_6h,control,120,18.25,108.0,19.2,113.5,588.7253408048861
pangu_6h,control,126,18.25,108.0,20.0,114.4,699.8918725458889
pangu_6h,control,132,18.25,108.0,20.9,115.5,839.0478823958782
pangu_6h,control,138,18.25,108.0,21.4,116.3,935.9892863758334
pangu_6h,control,144,18.0,108.0,22.0,116.9,1030.5089406745444
pangu_6h,control,150,18.0,108.0,22.2,117.2,1067.808489033611
pangu_6h,control,156,17.75,108.0,22.9,118.2,1207.3449606462405
pangu_6h,control,162,17.75,108.0,23.3,118.4,1245.824801958283
pangu_6h,control,168,17.5,108.25,23.8,117.4,1181.367265335202
tianxing,optimal,6,28.5,124.25,28.4,124.2,12.146568287824332
tianxing,optimal,12,28.25,123.5,28.2,123.5,5.559754011677007
tianxing,optimal,18,28.25,122.5,28.2,122.6,11.26495676698087
tianxing,optimal,24,28.0,121.5,28.1,121.0,50.31104611441186
tianxing,optimal,30,27.75,120.25,27.9,119.3,94.89847551211571
tianxing,optimal,36,27.5,118.75,27.7,117.8,96.21939106316243
tianxing,optimal,42,27.25,117.25,27.2,116.7,54.66551138612771
tianxing,optimal,48,27.0,116.25,26.7,115.9,48.15021118619616
tianxing,optimal,54,26.75,115.5,26.0,115.2,88.58950525174004
tianxing,optimal,60,26.25,114.5,25.8,114.1,64.04070619015678
tianxing,optimal,66,26.0,113.5,25.4,112.6,112.17255349395624
tianxing,optimal,72,25.25,112.75,24.3,111.9,136.09928131277303
